,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
7313,2018,2018-04-15,1,Estádio São Januário,André Luiz de Freitas Castro,7197.0,24584.0,Vasco da Gama,Atlético-MG,Zé Ricardo,Thiago Larghi,6.0,13.0,12950000.0,21850000.0,28.5,28.6,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,
7314,2018,2018-05-06,4,Estádio São Januário,Flavio Rodrigues de Souza,3311.0,24584.0,Vasco da Gama,América-MG,Zé Ricardo,Enderson Moreira,7.0,3.0,11600000.0,9000000.0,28.0,29.0,4.0,1.0,0.0,1.0,,,,,,,,,,,,,,
7315,2018,2018-05-13,5,Estádio São Januário,Jean Pierre Goncalves Lima,3542.0,24584.0,Vasco da Gama,EC Vitória,Zé Ricardo,Vágner Mancini,2.0,19.0,10550000.0,11080000.0,28.3,27.7,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,
7316,2018,2018-05-31,8,Estádio São Januário,Leandro Pedro Vuaden,4584.0,24584.0,Vasco da Gama,Paraná,Zé Ricardo,Rogério Micale,12.0,20.0,9750000.0,7700000.0,25.7,25.2,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
7317,2018,2018-06-03,9,Estádio São Januário,Raphael Claus,9454.0,24584.0,Vasco da Gama,Botafogo,Zé Ricardo,Alberto Valentim,10.0,14.0,13350000.0,14050000.0,27.8,26.7,1.0,2.0,0.0,2.0,,,,,,,,,,,,,,
7318,2018,2018-06-10,11,Estádio São Januário,Savio Pereira Sampaio,8418.0,24584.0,Vasco da Gama,Sport Recife,,,12.0,2.0,,,,,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,
7319,2018,2018-07-20,13,Estádio São Januário,Marcelo Aparecido Ribeiro de Souza,11901.0,24584.0,Vasco da Gama,Fluminense,,,11.0,13.0,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
7320,2018,2018-07-22,14,Estádio São Januário,Igor Junior Benevenuto,8242.0,24584.0,Vasco da Gama,Grêmio,,,11.0,4.0,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
7321,2018,2018-07-19,13,Estádio Presidente Vargas,Grazianni Maciel Rocha,15197.0,20268.0,Ceará SC,Sport Recife,Lisca,Claudinei Oliveira,20.0,7.0,7800000.0,12600000.0,30.1,30.4,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7322,2018,2018-08-09,20,Estádio Presidente Vargas,Marcelo de Lima Henrique,18047.0,20268.0,Ceará SC,Santos FC,Lisca,Cuca,19.0,14.0,6430000.0,29600000.0,29.4,26.2,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
7323,2018,2018-04-15,1,Estádio Manoel Barradas,Wagner Reway,13142.0,35632.0,EC Vitória,Flamengo,Vágner Mancini,Maurício Barbieri,10.0,9.0,8080000.0,55000000.0,26.3,28.4,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,
7324,2018,2018-05-06,4,Estádio Manoel Barradas,Rodrigo D,7030.0,35632.0,EC Vitória,Fluminense,Vágner Mancini,Abel Braga,17.0,12.0,11680000.0,9350000.0,26.4,25.0,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,
7325,2018,2018-05-20,6,Estádio Manoel Barradas,Marcelo de Lima Henrique,8371.0,35632.0,EC Vitória,Ceará SC,Vágner Mancini,Marcelo Chamusca,18.0,19.0,10580000.0,10180000.0,27.5,29.8,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,
7326,2018,2018-05-31,8,Estádio Manoel Barradas,Raphael Claus,5749.0,35632.0,EC Vitória,Internacional,Vágner Mancini,Odair Hellmann,14.0,8.0,12100000.0,28400000.0,26.7,27.3,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,
7327,2018,2018-06-07,10,Estádio Manoel Barradas,Dyorgines Jose Padovani,5459.0,35632.0,EC Vitória,Chapecoense,Vágner Mancini,Gilson Kleina,17.0,15.0,11050000.0,13650000.0,26.2,29.3,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7328,2018,2018-07-19,13,Estádio Manoel Barradas,Savio Pereira Sampaio,6598.0,35632.0,EC Vitória,Paraná,Vágner Mancini,Rogério Micale,16.0,18.0,8850000.0,5000000.0,26.9,27.5,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
7329,2018,2018-07-27,15,Estádio Manoel Barradas,Vinicius Gonçalves Dias Araujo,5706.0,35632.0,EC Vitória,Sport Recife,Vágner Mancini,Claudinei Oliveira,16.0,10.0,9500000.0,11600000.0,25.5,30.6,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7330,2018,2018-08-05,17,Estádio Manoel Barradas,Eduardo Tomaz de Aquino Valadão,7193.0,35632.0,EC Vitória,Cruzeiro,João Burse,Mano Menezes,15.0,8.0,14150000.0,16750000.0,25.7,27.3,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
7331,2018,2018-04-15,1,Neo Química Arena,Anderson Daronco,28777.0,49205.0,Corinthians,Fluminense,Fábio Carille,Abel Braga,5.0,14.0,29300000.0,8750000.0,27.7,25.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,
7332,2018,2018-05-06,4,Neo Química Arena,Savio Pereira Sampaio,40350.0,49205.0,Corinthians,Ceará SC,Fábio Carille,Marcelo Chamusca,2.0,19.0,24300000.0,8980000.0,27.1,28.8,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7333,2018,2018-05-13,5,Neo Química Arena,Anderson Daronco,35246.0,49205.0,Corinthians,Palmeiras,Fábio Carille,Roger Machado,4.0,3.0,30050000.0,39250000.0,26.6,29.1,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
7334,2018,2018-05-31,8,Neo Química Arena,Grazianni Maciel Rocha,34921.0,49205.0,Corinthians,América-MG,Osmar Loss,Enderson Moreira,6.0,11.0,32600000.0,8000000.0,27.0,26.5,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7335,2018,2018-06-07,10,Neo Química Arena,Ricardo Marques Ribeiro,27586.0,49205.0,Corinthians,Santos FC,Osmar Loss,Jair Ventura,8.0,14.0,36400000.0,38750000.0,26.5,27.3,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
7336,2018,2018-06-10,11,Neo Química Arena,Péricles Bassols Pegado Cortez,27990.0,49205.0,Corinthians,EC Vitória,Osmar Loss,Vágner Mancini,9.0,15.0,32400000.0,11100000.0,25.6,26.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7337,2018,2018-07-19,13,Neo Química Arena,Rodrigo D,19830.0,49205.0,Corinthians,Botafogo,Osmar Loss,Marcos Paquetá,10.0,9.0,33500000.0,12200000.0,28.1,28.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
7338,2018,2018-07-26,15,Neo Química Arena,Paulo Roberto Alves Júnior,21031.0,49205.0,Corinthians,Cruzeiro,Osmar Loss,Mano Menezes,9.0,4.0,33600000.0,23300000.0,27.5,31.5,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7339,2018,2018-08-05,17,Neo Química Arena,Péricles Bassols Pegado Cortez,28662.0,49205.0,Corinthians,Atlético-PR,Osmar Loss,Tiago Nunes,7.0,18.0,21200000.0,11650000.0,24.8,27.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7340,2018,2018-04-22,2,Estádio Jornalista Mário Filho,Flavio Rodrigues de Souza,10018.0,82238.0,Fluminense,Cruzeiro,Abel Braga,Mano Menezes,14.0,15.0,10550000.0,24000000.0,25.4,29.1,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7341,2018,2018-04-29,3,Estádio Jornalista Mário Filho,Rodolpho Toski Marques,19235.0,82238.0,Fluminense,São Paulo,Abel Braga,Diego Aguirre,12.0,7.0,10200000.0,24150000.0,25.5,28.8,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,
7342,2018,2018-05-21,6,Estádio Jornalista Mário Filho,Igor Junior Benevenuto,9172.0,82238.0,Fluminense,Atlético-PR,Abel Braga,Fernando Diniz,9.0,15.0,11350000.0,13650000.0,25.6,27.3,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,
7343,2018,2018-05-26,7,Estádio Jornalista Mário Filho,Rafael Traci,14541.0,82238.0,Fluminense,Chapecoense,Abel Braga,Gilson Kleina,5.0,16.0,15050000.0,13850000.0,25.6,29.5,3.0,1.0,2.0,0.0,,,,,,,,,,,,,,
7344,2018,2018-06-14,12,Estádio Jornalista Mário Filho,Rafael Traci,7438.0,82238.0,Fluminense,Santos FC,Abel Braga,Jair Ventura,11.0,16.0,10650000.0,30000000.0,23.8,27.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
7345,2018,2018-07-26,15,Estádio Jornalista Mário Filho,Rodrigo D,22827.0,82238.0,Fluminense,Palmeiras,Marcelo Oliveira,Roger Machado,11.0,6.0,13550000.0,40700000.0,26.7,29.6,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
7346,2018,2018-08-06,17,Estádio Jornalista Mário Filho,Luiz Flávio de Oliveira,15461.0,82238.0,Fluminense,EC Bahia,Marcelo Oliveira,Enderson Moreira,9.0,11.0,14850000.0,12250000.0,26.3,28.6,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
7347,2018,2018-04-22,2,Arena Condá,Luiz Flávio de Oliveira,8675.0,22600.0,Chapecoense,Vasco da Gama,Gilson Kleina,Zé Ricardo,20.0,6.0,15350000.0,13050000.0,28.7,29.1,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
