,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
6173,2008,2008-05-18,2,Estádio Olímpico Monumental,Wilson Luiz Seneme,38564.0,,Grêmio,Flamengo,Celso Roth,Caio Júnior,6.0,1.0,10100000.0,27200000.0,24.4,26.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
6174,2008,2008-05-24,3,Estádio Olímpico Monumental,Alício Pena Junior,23685.0,,Grêmio,Náutico,Celso Roth,Marcelo Sangaletti,6.0,1.0,10100000.0,5900000.0,24.4,26.3,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6175,2008,2008-06-08,5,Estádio Olímpico Monumental,Evandro Rogerio Roman,23176.0,,Grêmio,Fluminense,Celso Roth,Renato Gaúcho,5.0,20.0,9900000.0,28950000.0,24.0,27.3,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,
6176,2008,2008-06-22,7,Estádio Olímpico Monumental,Guilherme Ceretta de Lima,21438.0,,Grêmio,Atlético-PR,Celso Roth,Roberto Fernandes,2.0,8.0,13000000.0,8300000.0,25.2,25.4,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6177,2008,2008-07-19,13,Estádio Olímpico Monumental,Sergio da Silva Carvalho,28217.0,,Grêmio,Cruzeiro,Celso Roth,Adilson Batista,3.0,2.0,12750000.0,22850000.0,24.3,24.7,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6178,2008,2008-07-27,15,Estádio Olímpico Monumental,Wagner Tardelli Azevedo,0.0,,Grêmio,Palmeiras,Celso Roth,Vanderlei Luxemburgo,1.0,4.0,9800000.0,19550000.0,24.0,26.4,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
6179,2008,2008-08-03,17,Estádio Olímpico Monumental,Salvio Fagundes Filho,0.0,,Grêmio,EC Vitória,Celso Roth,Vágner Mancini,1.0,3.0,11500000.0,8550000.0,24.9,26.4,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6180,2008,2008-08-06,18,Estádio Olímpico Monumental,Wilson Souza de Mendonça,0.0,,Grêmio,Ipatinga FC,Celso Roth,Ricardo Drubscky,1.0,20.0,11500000.0,3300000.0,24.9,24.2,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6181,2008,2008-08-17,20,Estádio Olímpico Monumental,Alício Pena Junior,40256.0,,Grêmio,São Paulo,Celso Roth,Muricy Ramalho,1.0,4.0,20300000.0,28300000.0,24.8,27.7,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6182,2008,2008-08-31,23,Estádio Olímpico Monumental,Evandro Rogerio Roman,0.0,,Grêmio,Vasco da Gama,Celso Roth,Tita,1.0,14.0,19600000.0,11900000.0,25.6,23.8,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,
6183,2008,2008-09-13,25,Estádio Olímpico Monumental,Celio Amorim,0.0,,Grêmio,Goiás EC,Celso Roth,Vadão,1.0,10.0,18500000.0,7200000.0,26.0,28.4,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,
6184,2008,2008-10-08,29,Estádio Olímpico Monumental,Marcelo de Lima Henrique,0.0,,Grêmio,Santos FC,Celso Roth,Márcio Fernandes,1.0,13.0,12700000.0,12600000.0,23.3,27.2,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6185,2008,2008-10-23,31,Estádio Olímpico Monumental,Wagner Tardelli Azevedo,0.0,,Grêmio,Sport Recife,Celso Roth,Nelsinho Baptista,1.0,11.0,19700000.0,7000000.0,24.2,29.4,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6186,2008,2008-11-16,35,Estádio Olímpico Monumental,Marcelo de Lima Henrique,0.0,,Grêmio,Coritiba FC,Celso Roth,Dorival Júnior,2.0,7.0,16950000.0,17500000.0,25.0,24.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,
6187,2008,2008-12-07,38,Estádio Olímpico Monumental,Luís Antônio Silva Santos,0.0,,Grêmio,Atlético-MG,Celso Roth,Marcelo Oliveira,2.0,12.0,21500000.0,6150000.0,25.0,24.7,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,
6188,2008,2008-05-11,1,Estádio Olímpico Nilton Santos,Cleber Wellington Abade,2562.0,,Botafogo,Sport Recife,Cuca,Nelsinho Baptista,2.0,20.0,6000000.0,10600000.0,24.5,27.5,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6189,2008,2008-06-08,5,Estádio Olímpico Nilton Santos,Alício Pena Junior,6008.0,,Botafogo,Coritiba FC,Geninho,Dorival Júnior,15.0,8.0,14700000.0,1750000.0,26.7,25.6,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,
6190,2008,2008-07-06,9,Estádio Olímpico Nilton Santos,Cláudio Luciano Mercante Júnior,0.0,,Botafogo,Grêmio,Geninho,Celso Roth,16.0,2.0,13650000.0,10400000.0,27.6,24.6,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6191,2008,2008-07-16,12,Estádio Olímpico Nilton Santos,Arilson Bispo da Anunciação,10007.0,,Botafogo,Ipatinga FC,Ney Franco,Ricardo Drubscky,15.0,20.0,11750000.0,4500000.0,27.5,26.7,4.0,0.0,3.0,0.0,,,,,,,,,,,,,,
6192,2008,2008-07-23,14,Estádio Olímpico Nilton Santos,Leonardo Gaciba da Silva,0.0,,Botafogo,Atlético-MG,Ney Franco,Alexandre Gallo,14.0,13.0,14250000.0,5750000.0,27.3,25.7,4.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6193,2008,2008-07-30,16,Estádio Olímpico Nilton Santos,Luiz Flávio de Oliveira,0.0,,Botafogo,Goiás EC,Ney Franco,Vadão,11.0,15.0,14500000.0,6750000.0,27.8,28.8,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,
6194,2008,2008-08-10,19,Estádio Olímpico Nilton Santos,Leandro Pedro Vuaden,29379.0,,Botafogo,Palmeiras,Ney Franco,Vanderlei Luxemburgo,8.0,3.0,12800000.0,22700000.0,28.1,27.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
6195,2008,2008-08-20,21,Estádio Olímpico Nilton Santos,Giulliano Bozzano,0.0,,Botafogo,Cruzeiro,Ney Franco,Adilson Batista,4.0,2.0,16000000.0,23250000.0,26.0,25.1,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
6196,2008,2008-08-30,23,Estádio Olímpico Nilton Santos,Paulo César de Oliveira,0.0,,Botafogo,Náutico,Ney Franco,Roberto Fernandes,4.0,18.0,15800000.0,6850000.0,27.6,27.7,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
6197,2008,2008-09-28,27,Estádio Olímpico Nilton Santos,Péricles Bassols Pegado Cortez,0.0,,Botafogo,Fluminense,Ney Franco,Cuca,6.0,19.0,16800000.0,22750000.0,28.9,24.7,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
6198,2008,2008-10-18,30,Estádio Olímpico Nilton Santos,Carlos Simon,0.0,,Botafogo,Santos FC,Ney Franco,Márcio Fernandes,6.0,13.0,19000000.0,12350000.0,26.4,27.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
6199,2008,2008-11-09,34,Estádio Olímpico Nilton Santos,Marcelo de Lima Henrique,27038.0,,Botafogo,Flamengo,Ney Franco,Caio Júnior,6.0,5.0,18700000.0,27100000.0,26.9,26.9,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
6200,2008,2008-11-22,36,Estádio Olímpico Nilton Santos,Antonio Hora Filho,0.0,,Botafogo,Atlético-PR,Ney Franco,Geninho,9.0,14.0,8100000.0,10650000.0,25.8,25.3,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,
6201,2008,2008-11-30,37,Estádio Olímpico Nilton Santos,Salvio Fagundes Filho,3106.0,,Botafogo,Figueirense FC,Ney Franco,Mário Sérgio,9.0,17.0,12250000.0,10450000.0,27.1,22.8,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,
6202,2008,2008-05-17,2,Estádio Governador Magalhães Pinto,Paulo César de Oliveira,14296.0,,Cruzeiro,Botafogo,Adilson Batista,Cuca,3.0,2.0,22300000.0,13000000.0,24.6,25.1,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6203,2008,2008-05-25,3,Estádio Governador Magalhães Pinto,Sergio da Silva Carvalho,19291.0,,Cruzeiro,Santos FC,Adilson Batista,Emerson Leão,2.0,7.0,22200000.0,18500000.0,25.0,26.9,4.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6204,2008,2008-06-08,5,Estádio Governador Magalhães Pinto,Wilson Souza de Mendonça,20278.0,,Cruzeiro,Vasco da Gama,Adilson Batista,Antônio Lopes,1.0,4.0,22200000.0,11550000.0,25.0,25.7,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
6205,2008,2008-06-21,7,Estádio Governador Magalhães Pinto,Djalma José Beltrami Teixeira,8988.0,,Cruzeiro,Figueirense FC,Adilson Batista,Guilherme Macuglia,3.0,13.0,24750000.0,10000000.0,25.6,25.1,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6206,2008,2008-06-29,8,Estádio Governador Magalhães Pinto,Marcelo de Lima Henrique,37115.0,,Cruzeiro,São Paulo,Adilson Batista,Muricy Ramalho,3.0,6.0,27200000.0,33500000.0,25.4,28.3,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
6207,2008,2008-07-16,12,Estádio Governador Magalhães Pinto,André Luiz de Freitas Castro,0.0,,Cruzeiro,Atlético-PR,Adilson Batista,Roberto Fernandes,2.0,13.0,23850000.0,11900000.0,24.8,24.8,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
