,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
0,2024,2024-06-30,13,Estádio Francisco Stédile, Paulo Cesar Zanovelli,16221.0,30822.0,Grêmio,Fluminense,Renato Gaúcho,Marcão,18.0,20.0,3790.0,2665.0,30.2,33.1,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
1,2024,2024-07-05,14,Estádio Francisco Stédile, Marcelo de Lima Henrique  ,20797.0,30540.0,Grêmio,Palmeiras,Renato Gaúcho,Abel Ferreira,18.0,3.0,4280.0,8360.0,29.7,25.3,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,
2,2024,2024-07-10,16,Estádio Francisco Stédile, Bruno Arleu de Araújo,4623.0,30822.0,Grêmio,Cruzeiro,Renato Gaúcho,Fernando Seabra,18.0,6.0,4550.0,3570.0,29.0,26.4,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,
3,2024,2024-07-21,18,Estádio Francisco Stédile, Savio Pereira Sampaio,25248.0,30540.0,Grêmio,EC Vitória,Renato Gaúcho,Thiago Carpini,18.0,17.0,3800.0,1145.0,30.6,26.7,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,
4,2024,2024-07-29,20,Arena Condá, Paulo Cesar Zanovelli,17621.0,22540.0,Grêmio,Vasco da Gama,Renato Gaúcho,Rafael Paiva,17.0,12.0,4300.0,3130.0,30.4,28.7,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
5,2024,2024-07-08,15,Estádio Olímpico Nilton Santos, Rafael Rodrigo Klein,21582.0,46931.0,Botafogo,Atlético-MG,Artur Jorge,Gabriel Milito,2.0,11.0,3315.0,4095.0,29.8,27.4,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,
6,2024,2024-07-18,17,Estádio Olímpico Nilton Santos, Anderson Daronco,39570.0,46931.0,Botafogo,Palmeiras,Artur Jorge,Abel Ferreira,1.0,2.0,3575.0,11510.0,30.6,27.7,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
7,2024,2024-07-20,18,Estádio Olímpico Nilton Santos, Flavio Rodrigues de Souza,31344.0,46931.0,Botafogo,Internacional,Artur Jorge,Roger Machado,1.0,11.0,3525.0,3405.0,28.5,28.5,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
8,2024,2024-07-28,20,Estádio Olímpico Nilton Santos, Wilton Sampaio,19349.0,46931.0,Botafogo,Cruzeiro,Artur Jorge,Fernando Seabra,2.0,4.0,2305.0,4080.0,30.5,27.8,0.0,3.0,0.0,2.0,,,,,,,,,,,,,,
9,2024,2024-07-07,15,Estádio Governador Magalhães Pinto, Alex Gomes Stefano,55186.0,61927.0,Cruzeiro,Corinthians,Fernando Seabra,Raphael Laruccia,7.0,17.0,3970.0,5450.0,27.4,24.9,3.0,0.0,2.0,0.0,,,,,,,,,,,,,,
