,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
5033,2021,2021-06-06,2,Estádio Urbano Caldeira,Jean Pierre Goncalves Lima,0.0,20120.0,Santos,Ceará SC,Fernando Diniz,Guto Ferreira,20.0,3.0,32000000.0,7230000.0,26.4,27.0,3.0,1.0,1.0,1.0,4.0,1.0,18.0,19.0,17.0,16.0,2.0,2.0,1.0,3.0,15.0,6.0,6.0,1.0
5034,2021,2021-06-13,3,Estádio Urbano Caldeira,Alexandre Vargas Tavares,0.0,20120.0,Santos,Juventude,Fernando Diniz,Marquinhos Santos,12.0,17.0,32000000.0,5150000.0,26.4,27.2,0.0,0.0,0.0,0.0,8.0,0.0,14.0,20.0,17.0,14.0,0.0,2.0,0.0,3.0,18.0,2.0,9.0,1.0
5035,2021,2021-06-20,5,Estádio Urbano Caldeira,Savio Pereira Sampaio,0.0,20120.0,Santos,São Paulo,Fernando Diniz,Hernán Crespo,14.0,16.0,30900000.0,32200000.0,26.7,26.9,2.0,0.0,2.0,0.0,3.0,7.0,22.0,20.0,20.0,21.0,1.0,3.0,3.0,2.0,11.0,8.0,5.0,5.0
5036,2021,2021-06-28,7,Estádio Urbano Caldeira,Bruno Arleu de Araújo,0.0,20120.0,Santos,Atlético-MG,Fernando Diniz,Cuca,10.0,8.0,31650000.0,33250000.0,25.7,28.7,2.0,0.0,0.0,0.0,4.0,6.0,20.0,16.0,15.0,20.0,3.0,4.0,1.0,4.0,11.0,11.0,3.0,6.0
5037,2021,2021-07-01,8,Estádio Urbano Caldeira,Douglas Schwengber,0.0,20120.0,Santos,Sport Recife,Fernando Diniz,Umberto Louzer,7.0,17.0,29800000.0,7500000.0,26.2,27.9,0.0,0.0,0.0,0.0,7.0,1.0,11.0,19.0,18.0,11.0,2.0,1.0,1.0,3.0,14.0,8.0,9.0,4.0
5038,2021,2021-07-07,10,Estádio Urbano Caldeira,Vinicius Gomes,0.0,20120.0,Santos,Athletico-PR,Fernando Diniz,Toni Oliveira,11.0,2.0,22200000.0,28450000.0,25.9,25.8,2.0,1.0,1.0,1.0,7.0,4.0,17.0,13.0,13.0,17.0,1.0,7.0,2.0,2.0,18.0,11.0,7.0,9.0
5039,2021,2021-07-25,13,Estádio Urbano Caldeira,Leandro Pedro Vuaden,0.0,20120.0,Santos,Atlético-GO,Fernando Diniz,Eduardo Barroca,10.0,11.0,34600000.0,7650000.0,27.0,26.2,0.0,1.0,0.0,1.0,15.0,2.0,14.0,7.0,7.0,13.0,1.0,2.0,3.0,2.0,29.0,7.0,16.0,3.0
5040,2021,2021-08-08,15,Estádio Urbano Caldeira,Flavio Rodrigues de Souza,0.0,20120.0,Santos,Corinthians,Fernando Diniz,Sylvinho,8.0,12.0,23500000.0,19150000.0,26.3,29.2,0.0,0.0,0.0,0.0,5.0,3.0,17.0,9.0,9.0,17.0,5.0,5.0,3.0,1.0,11.0,9.0,4.0,2.0
5041,2021,2021-08-22,17,Estádio Urbano Caldeira,Wagner do Nascimento Magalhães,0.0,20120.0,Santos,Internacional,Fernando Diniz,Diego Aguirre,10.0,9.0,18300000.0,33550000.0,26.2,28.8,2.0,2.0,2.0,1.0,4.0,4.0,19.0,14.0,13.0,19.0,2.0,2.0,2.0,1.0,10.0,13.0,4.0,6.0
5042,2021,2021-08-29,18,Estádio Urbano Caldeira,Braulio da Silva Machado,0.0,20120.0,Santos,Flamengo,Fernando Diniz,Renato Portaluppi,11.0,5.0,18000000.0,74850000.0,25.6,30.6,0.0,4.0,0.0,0.0,4.0,5.0,14.0,14.0,13.0,14.0,7.0,2.0,3.0,2.0,11.0,18.0,6.0,6.0
5043,2021,2021-09-12,20,Estádio Urbano Caldeira,Paulo Cesar Zanovelli,0.0,20120.0,Santos,EC Bahia,Fábio Carille,Diego Dabove,15.0,16.0,18800000.0,8000000.0,27.0,29.3,0.0,0.0,0.0,0.0,5.0,1.0,16.0,20.0,20.0,15.0,3.0,1.0,0.0,0.0,10.0,13.0,6.0,7.0
5044,2021,2021-10-28,23,Estádio Urbano Caldeira,Wilton Sampaio,6685.0,20120.0,Santos,Fluminense,Fábio Carille,Marcão,16.0,8.0,18450000.0,16050000.0,26.6,25.5,2.0,0.0,1.0,0.0,2.0,4.0,18.0,10.0,10.0,18.0,4.0,3.0,0.0,0.0,11.0,17.0,3.0,10.0
5045,2021,2021-10-10,25,Estádio Urbano Caldeira,Bruno Arleu de Araújo,4165.0,20120.0,Santos,Grêmio,Fábio Carille,Luiz Felipe Scolari,15.0,17.0,18800000.0,35500000.0,27.2,28.4,1.0,0.0,0.0,0.0,9.0,3.0,14.0,25.0,25.0,13.0,3.0,4.0,1.0,1.0,13.0,8.0,5.0,3.0
5046,2021,2021-10-23,28,Estádio Urbano Caldeira,Marcelo de Lima Henrique  ,6921.0,20120.0,Santos,América-MG,Fábio Carille,Marquinhos Santos,14.0,13.0,17850000.0,5400000.0,29.0,30.2,0.0,2.0,0.0,1.0,3.0,5.0,10.0,12.0,11.0,10.0,2.0,6.0,1.0,3.0,14.0,16.0,6.0,10.0
5047,2021,2021-11-07,30,Estádio Urbano Caldeira,Raphael Claus,13165.0,20120.0,Santos,Palmeiras,Fábio Carille,Abel Ferreira,15.0,3.0,19350000.0,60500000.0,25.6,27.9,0.0,2.0,0.0,1.0,4.0,2.0,14.0,17.0,15.0,13.0,4.0,4.0,1.0,2.0,12.0,15.0,8.0,6.0
5048,2021,2021-11-10,31,Estádio Urbano Caldeira,Leandro Pedro Vuaden,9443.0,20120.0,Santos,RB Bragantino,Fábio Carille,Maurício Barbieri,16.0,6.0,25350000.0,25900000.0,25.4,25.5,2.0,0.0,1.0,0.0,5.0,7.0,11.0,10.0,10.0,10.0,3.0,3.0,3.0,0.0,11.0,14.0,4.0,8.0
5049,2021,2021-11-17,33,Estádio Urbano Caldeira,Paulo Cesar Zanovelli,11574.0,20120.0,Santos,Chapecoense,Fábio Carille,Felipe Endres,12.0,20.0,17450000.0,4330000.0,28.6,26.4,2.0,0.0,1.0,0.0,2.0,5.0,14.0,14.0,14.0,14.0,5.0,1.0,1.0,0.0,9.0,15.0,2.0,3.0
5050,2021,2021-11-25,35,Estádio Urbano Caldeira,Wagner do Nascimento Magalhães,11313.0,20120.0,Santos,Fortaleza,Fábio Carille,Juan Pablo Vojvoda,13.0,5.0,29850000.0,11600000.0,25.2,28.4,2.0,0.0,0.0,0.0,6.0,4.0,15.0,15.0,13.0,14.0,2.0,3.0,3.0,5.0,15.0,11.0,7.0,6.0
5051,2021,2021-12-10,38,Estádio Urbano Caldeira,Wagner do Nascimento Magalhães,12444.0,20120.0,Santos,Cuiabá-MT,,,11.0,15.0,25300000.0,7100000.0,25.2,29.3,1.0,1.0,0.0,1.0,6.0,4.0,17.0,15.0,15.0,15.0,2.0,4.0,0.0,1.0,13.0,8.0,4.0,2.0
5052,2021,2021-11-24,2,Arena do Grêmio,Braulio da Silva Machado,0.0,60540.0,Grêmio,Flamengo,Vagner Mancini,Renato Portaluppi,14.0,7.0,27300000.0,33950000.0,28.8,26.8,2.0,2.0,0.0,0.0,5.0,4.0,14.0,14.0,13.0,14.0,4.0,5.0,2.0,1.0,18.0,12.0,8.0,5.0
5053,2021,2021-06-13,3,Arena do Grêmio,Ricardo Marques Ribeiro ,0.0,60540.0,Grêmio,Athletico-PR,Tiago Nunes,Toni Oliveira,13.0,2.0,37350000.0,28750000.0,29.0,25.7,0.0,1.0,0.0,1.0,6.0,4.0,21.0,12.0,12.0,21.0,3.0,1.0,0.0,0.0,10.0,9.0,5.0,3.0
5054,2021,2021-06-25,6,Arena do Grêmio,Caio Max Augusto Vieira,0.0,60540.0,Grêmio,Santos,Tiago Nunes,Fernando Diniz,16.0,10.0,35700000.0,32900000.0,28.1,26.5,2.0,2.0,2.0,1.0,7.0,1.0,21.0,14.0,14.0,20.0,1.0,4.0,2.0,2.0,19.0,6.0,5.0,3.0
5055,2021,2021-06-28,7,Arena do Grêmio,Marcelo de Lima Henrique  ,0.0,60540.0,Grêmio,Fortaleza,Tiago Nunes,Juan Pablo Vojvoda,16.0,3.0,40700000.0,11600000.0,29.0,27.7,0.0,0.0,0.0,0.0,10.0,5.0,13.0,12.0,11.0,12.0,5.0,5.0,1.0,3.0,18.0,16.0,9.0,7.0
5056,2021,2021-07-05,9,Arena do Grêmio,Marielson Alves Silva,0.0,60540.0,Grêmio,Atlético-GO,Tiago Nunes,Eduardo Barroca,18.0,10.0,51600000.0,7580000.0,28.3,25.8,0.0,1.0,0.0,0.0,11.0,7.0,16.0,9.0,8.0,15.0,4.0,4.0,2.0,4.0,21.0,10.0,11.0,1.0
5057,2021,2021-07-10,11,Arena do Grêmio,Flavio Rodrigues de Souza,0.0,60540.0,Grêmio,Internacional,Luiz Felipe Scolari,Diego Aguirre,19.0,14.0,26700000.0,34950000.0,28.9,27.1,0.0,0.0,0.0,0.0,5.0,7.0,12.0,19.0,19.0,12.0,8.0,2.0,2.0,0.0,11.0,16.0,7.0,2.0
5058,2021,2021-07-24,13,Arena do Grêmio,Alisson Sidnei Furtado,0.0,60540.0,Grêmio,América-MG,Luiz Felipe Scolari,Vagner Mancini,18.0,19.0,17700000.0,3380000.0,25.4,28.7,1.0,1.0,1.0,1.0,8.0,5.0,20.0,16.0,13.0,18.0,6.0,3.0,1.0,1.0,12.0,18.0,6.0,7.0
5059,2021,2021-08-10,15,Arena do Grêmio,Marcelo de Lima Henrique  ,0.0,60540.0,Grêmio,Chapecoense,Luiz Felipe Scolari,Pintado,18.0,20.0,32700000.0,3780000.0,27.3,27.0,2.0,1.0,2.0,1.0,9.0,3.0,14.0,10.0,10.0,13.0,1.0,1.0,2.0,0.0,20.0,6.0,9.0,1.0
5060,2021,2021-08-22,17,Arena do Grêmio,Caio Max Augusto Vieira,0.0,60540.0,Grêmio,EC Bahia,Luiz Felipe Scolari,Bruno Lopes,19.0,13.0,26300000.0,10050000.0,27.3,27.2,2.0,0.0,0.0,0.0,4.0,2.0,12.0,15.0,15.0,12.0,3.0,4.0,0.0,0.0,15.0,9.0,5.0,6.0
5061,2021,2021-08-29,18,Arena do Grêmio,Ricardo Marques Ribeiro ,0.0,60540.0,Grêmio,Corinthians,Luiz Felipe Scolari,Sylvinho,17.0,7.0,31500000.0,19350000.0,25.7,29.0,0.0,1.0,0.0,0.0,6.0,4.0,17.0,7.0,7.0,16.0,0.0,2.0,0.0,0.0,11.0,6.0,8.0,3.0
5062,2021,2021-09-12,20,Arena do Grêmio,Flavio Rodrigues de Souza,0.0,60540.0,Grêmio,Ceará SC,Luiz Felipe Scolari,Tiago Nunes,18.0,12.0,33500000.0,10230000.0,26.8,29.7,2.0,0.0,2.0,0.0,5.0,4.0,22.0,9.0,8.0,22.0,1.0,1.0,0.0,0.0,13.0,8.0,8.0,5.0
5063,2021,2021-10-04,23,Arena do Grêmio,Felipe Fernandes,7147.0,60540.0,Grêmio,Sport Recife,Luiz Felipe Scolari,Gustavo Florentín,17.0,19.0,44800000.0,7100000.0,26.6,26.5,1.0,2.0,0.0,0.0,11.0,2.0,21.0,18.0,17.0,20.0,4.0,5.0,0.0,0.0,22.0,9.0,12.0,3.0
5064,2021,2021-10-07,24,Arena do Grêmio,Wilton Sampaio,4931.0,60540.0,Grêmio,Cuiabá-MT,,,18.0,11.0,38000000.0,8000000.0,28.2,27.1,2.0,2.0,0.0,1.0,7.0,3.0,15.0,10.0,9.0,14.0,0.0,5.0,0.0,1.0,20.0,5.0,8.0,2.0
5065,2021,2021-10-17,27,Arena do Grêmio,Marcelo de Lima Henrique  ,15129.0,60540.0,Grêmio,Juventude,Vagner Mancini,Marquinhos Santos,19.0,17.0,42150000.0,6800000.0,29.0,27.0,3.0,2.0,2.0,0.0,6.0,1.0,24.0,15.0,14.0,23.0,1.0,4.0,1.0,0.0,14.0,6.0,4.0,3.0
5066,2021,2021-10-31,29,Arena do Grêmio,Savio Pereira Sampaio,14207.0,60540.0,Grêmio,Palmeiras,Vagner Mancini,Abel Ferreira,18.0,3.0,43000000.0,53100000.0,29.2,29.5,1.0,3.0,1.0,2.0,4.0,2.0,26.0,12.0,11.0,24.0,2.0,4.0,2.0,0.0,15.0,11.0,8.0,4.0
5067,2021,2021-11-10,31,Arena do Grêmio,Vinicius Gonçalves Dias Araujo,0.0,60540.0,Grêmio,Fluminense,Vagner Mancini,Marcão,19.0,8.0,30800000.0,26400000.0,26.7,24.2,1.0,0.0,0.0,0.0,6.0,0.0,18.0,9.0,9.0,18.0,5.0,6.0,0.0,1.0,25.0,11.0,10.0,5.0
5068,2021,2021-11-16,33,Arena do Grêmio,Caio Max Augusto Vieira,0.0,60540.0,Grêmio,RB Bragantino,Vagner Mancini,Maurício Barbieri,18.0,6.0,27800000.0,13350000.0,29.6,22.6,3.0,0.0,3.0,0.0,11.0,1.0,15.0,17.0,14.0,15.0,1.0,7.0,2.0,0.0,25.0,7.0,9.0,4.0
5069,2021,2021-12-03,35,Arena do Grêmio,Savio Pereira Sampaio,9312.0,60540.0,Grêmio,São Paulo,Vagner Mancini,Rogério Ceni,18.0,14.0,34500000.0,40400000.0,29.9,26.9,3.0,0.0,1.0,0.0,6.0,0.0,17.0,13.0,13.0,16.0,1.0,4.0,0.0,1.0,17.0,5.0,6.0,3.0
5070,2021,2021-12-10,38,Arena do Grêmio,Raphael Claus,33577.0,60540.0,Grêmio,Atlético-MG,Vagner Mancini,Cuca,18.0,1.0,34300000.0,31650000.0,28.0,26.3,4.0,3.0,3.0,2.0,3.0,9.0,15.0,11.0,11.0,15.0,4.0,0.0,1.0,0.0,7.0,13.0,2.0,2.0
5071,2021,2021-05-30,1,Estádio Governador Roberto Santos,Bruno Arleu de Araújo,0.0,31000.0,EC Bahia,Santos,Dado Cavalcanti,Fernando Diniz,1.0,20.0,11400000.0,38000000.0,26.5,25.3,3.0,0.0,0.0,0.0,4.0,11.0,18.0,9.0,9.0,18.0,4.0,0.0,2.0,2.0,5.0,12.0,2.0,5.0
5072,2021,2021-06-14,3,Estádio Governador Roberto Santos,Wagner do Nascimento Magalhães,0.0,31000.0,EC Bahia,Internacional,Dado Cavalcanti,Osmar Loss,4.0,18.0,11850000.0,33150000.0,26.1,26.3,0.0,1.0,0.0,1.0,6.0,5.0,14.0,16.0,16.0,14.0,3.0,3.0,2.0,2.0,14.0,6.0,9.0,2.0
5073,2021,2021-06-20,5,Estádio Governador Roberto Santos,Bruno Arleu de Araújo,0.0,31000.0,EC Bahia,Corinthians,Dado Cavalcanti,Sylvinho,8.0,11.0,11850000.0,23250000.0,26.1,29.4,0.0,0.0,0.0,0.0,3.0,8.0,10.0,18.0,18.0,10.0,3.0,2.0,0.0,2.0,12.0,10.0,4.0,5.0
5074,2021,2021-06-25,6,Arena Fonte Nova,Antonio Dib Moraes de Sousa,0.0,55000.0,EC Bahia,Athletico-PR,Dado Cavalcanti,Toni Oliveira,7.0,1.0,12050000.0,28750000.0,26.5,25.7,2.0,1.0,1.0,1.0,9.0,2.0,12.0,8.0,8.0,12.0,3.0,5.0,3.0,1.0,19.0,9.0,5.0,3.0
5075,2021,2021-07-01,8,Estádio Governador Roberto Santos,Leo Simão Holanda,0.0,31000.0,EC Bahia,América-MG,Dado Cavalcanti,Vagner Mancini,5.0,20.0,9700000.0,6530000.0,28.1,31.0,3.0,4.0,1.0,2.0,8.0,4.0,5.0,8.0,8.0,5.0,4.0,3.0,3.0,5.0,20.0,16.0,8.0,5.0
5076,2021,2021-07-07,10,Estádio Governador Roberto Santos,Douglas Marques Flores,0.0,31000.0,EC Bahia,Juventude,Dado Cavalcanti,Marquinhos Santos,6.0,12.0,9130000.0,7300000.0,28.2,28.1,1.0,0.0,0.0,0.0,3.0,2.0,19.0,19.0,18.0,17.0,3.0,1.0,1.0,3.0,8.0,9.0,5.0,5.0
5077,2021,2021-07-18,12,Estádio Governador Roberto Santos,Wilton Sampaio,0.0,31000.0,EC Bahia,Flamengo,Dado Cavalcanti,Renato Portaluppi,6.0,7.0,11700000.0,70850000.0,28.0,30.4,0.0,5.0,0.0,2.0,4.0,3.0,18.0,8.0,7.0,15.0,5.0,3.0,0.0,2.0,11.0,16.0,5.0,4.0
5078,2021,2021-08-01,14,Estádio Governador Roberto Santos,Jefferson Ferreira Moraes,0.0,31000.0,EC Bahia,Sport Recife,Dado Cavalcanti,Umberto Louzer,9.0,16.0,11130000.0,5680000.0,28.9,26.4,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
5079,2021,2021-08-15,16,Estádio Governador Roberto Santos,Ricardo Marques Ribeiro ,0.0,31000.0,EC Bahia,Atlético-GO,Dado Cavalcanti,Eduardo Barroca,10.0,9.0,10200000.0,8900000.0,27.8,28.0,1.0,2.0,1.0,0.0,4.0,5.0,18.0,11.0,10.0,17.0,1.0,7.0,3.0,1.0,15.0,12.0,7.0,5.0
5080,2021,2021-09-05,19,Estádio Governador Roberto Santos,Luiz Flávio de Oliveira ,0.0,31000.0,EC Bahia,Fortaleza,Diego Dabove,Juan Pablo Vojvoda,16.0,4.0,9250000.0,10450000.0,28.6,29.0,4.0,2.0,1.0,0.0,6.0,4.0,25.0,7.0,6.0,25.0,3.0,4.0,2.0,0.0,13.0,18.0,4.0,8.0
5081,2021,2021-09-19,21,Estádio Governador Roberto Santos,Wilton Sampaio,0.0,31000.0,EC Bahia,RB Bragantino,Diego Dabove,Maurício Barbieri,16.0,5.0,6450000.0,26000000.0,29.5,24.0,1.0,1.0,0.0,0.0,4.0,2.0,16.0,13.0,13.0,14.0,4.0,2.0,0.0,0.0,13.0,15.0,6.0,5.0
5082,2021,2021-10-28,23,Arena Fonte Nova,Antonio Dib Moraes de Sousa,11507.0,55000.0,EC Bahia,Ceará SC,Guto Ferreira,Tiago Nunes,18.0,11.0,11530000.0,9330000.0,27.8,29.9,1.0,1.0,0.0,0.0,8.0,5.0,19.0,13.0,13.0,19.0,3.0,6.0,0.0,2.0,13.0,9.0,4.0,3.0
5083,2021,2021-10-13,26,Arena Fonte Nova,Ramon Abatti,4509.0,55000.0,EC Bahia,Palmeiras,Guto Ferreira,Abel Ferreira,17.0,3.0,11450000.0,61350000.0,27.7,28.9,0.0,0.0,0.0,0.0,14.0,5.0,22.0,13.0,13.0,21.0,2.0,5.0,3.0,1.0,17.0,9.0,5.0,5.0
5084,2021,2021-10-25,28,Arena Fonte Nova,Wilton Sampaio,8058.0,55000.0,EC Bahia,Chapecoense,Guto Ferreira,Pintado,16.0,20.0,11550000.0,3630000.0,28.4,26.2,3.0,0.0,2.0,0.0,4.0,9.0,6.0,11.0,11.0,6.0,1.0,3.0,0.0,0.0,15.0,11.0,5.0,6.0
5085,2021,2021-11-07,30,Arena Fonte Nova,Savio Pereira Sampaio,18178.0,55000.0,EC Bahia,São Paulo,Guto Ferreira,Rogério Ceni,16.0,12.0,11450000.0,40100000.0,27.8,28.0,1.0,0.0,0.0,0.0,11.0,6.0,11.0,18.0,16.0,11.0,3.0,3.0,4.0,4.0,15.0,8.0,4.0,2.0
5086,2021,2021-12-02,32,Arena Fonte Nova,Flavio Rodrigues de Souza,29228.0,55000.0,EC Bahia,Atlético-MG,Guto Ferreira,Cuca,16.0,1.0,11350000.0,49200000.0,29.0,30.0,2.0,3.0,0.0,0.0,4.0,6.0,13.0,12.0,12.0,13.0,6.0,1.0,1.0,1.0,13.0,19.0,5.0,3.0
5087,2021,2021-11-21,34,Arena Fonte Nova,Raphael Claus,19790.0,55000.0,EC Bahia,Cuiabá-MT,,,17.0,12.0,10850000.0,6800000.0,28.2,28.4,0.0,0.0,0.0,0.0,8.0,4.0,12.0,9.0,9.0,12.0,0.0,3.0,0.0,4.0,19.0,8.0,12.0,5.0
5088,2021,2021-11-26,36,Arena Fonte Nova,Bruno Arleu de Araújo,30671.0,55000.0,EC Bahia,Grêmio,Guto Ferreira,Vagner Mancini,18.0,17.0,10750000.0,39400000.0,28.3,27.6,3.0,1.0,2.0,0.0,3.0,9.0,15.0,15.0,14.0,15.0,2.0,3.0,1.0,0.0,13.0,11.0,5.0,4.0
5089,2021,2021-12-05,37,Arena Fonte Nova,Luiz Flávio de Oliveira ,26048.0,55000.0,EC Bahia,Fluminense,Guto Ferreira,Marcão,17.0,7.0,11350000.0,13100000.0,28.4,28.2,2.0,0.0,2.0,0.0,11.0,3.0,13.0,20.0,18.0,12.0,1.0,4.0,0.0,1.0,14.0,9.0,5.0,5.0
