,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
4273,2011,2011-05-21,1,Estádio Governador Plácido Castelo,Jailson Macedo Freitas,9422.0,,Ceará SC,Vasco da Gama,,,17.0,3.0,,,,,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,
4274,2011,2011-05-22,1,Estádio Orlando Scarpelli,Gutemberg de Paula Fonseca,10231.0,,Figueirense FC,Cruzeiro,,,8.0,15.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
4275,2011,2011-05-28,2,Estádio Cícero Pompeu de Toledo,Felipe Gomes da Silva,9931.0,,São Paulo,Figueirense FC,,,4.0,8.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
4276,2011,2011-05-29,2,Estádio São Januário,Franscisco Carlos do Nascimento,4495.0,,Vasco da Gama,América-MG,,,3.0,6.0,,,,,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,
4277,2011,2011-06-04,3,Estádio Orlando Scarpelli,Wilson Luiz Seneme,6913.0,,Figueirense FC,Atlético-GO,,,9.0,10.0,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,
4278,2011,2011-06-05,3,Estádio Major Antônio Couto Pereira,Celio Amorim,18554.0,,Coritiba FC,Vasco da Gama,,,18.0,2.0,,,,,5.0,1.0,4.0,0.0,,,,,,,,,,,,,,
4279,2011,2011-06-11,4,Estádio São Januário,Luiz Flávio de Oliveira,17777.0,,Vasco da Gama,Figueirense FC,,,7.0,6.0,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
4280,2011,2011-06-19,5,Estádio Olímpico Monumental,André Luiz de Freitas Castro,13840.0,,Grêmio,Vasco da Gama,,,10.0,7.0,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
4281,2011,2011-06-19,5,Estádio Orlando Scarpelli,Sandro Ricci,10067.0,,Figueirense FC,Atlético-PR,,,6.0,19.0,,,,,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,
4282,2011,2011-06-26,6,Estádio Beira-Rio,Marcelo de Lima Henrique,10455.0,,Internacional,Figueirense FC,,,11.0,4.0,,,,,4.0,1.0,2.0,0.0,,,,,,,,,,,,,,
4283,2011,2011-06-29,7,Estádio São Januário,Arilson Bispo da Anunciação,7695.0,,Vasco da Gama,Cruzeiro,,,5.0,16.0,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,
4284,2011,2011-06-30,7,Estádio Jornalista Mário Filho,Franscisco Carlos do Nascimento,5114.0,,Fluminense,Atlético-PR,,,10.0,19.0,,,,,3.0,1.0,2.0,0.0,,,,,,,,,,,,,,
4285,2011,2011-07-07,8,Estádio Major Antônio Couto Pereira,Péricles Bassols Pegado Cortez,17464.0,,Coritiba FC,Figueirense FC,,,15.0,6.0,,,,,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,
4286,2011,2011-07-09,9,Estádio São Januário,Jailson Macedo Freitas,8731.0,,Vasco da Gama,Internacional,,,11.0,3.0,,,,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
4287,2011,2011-07-09,9,Estádio Cícero Pompeu de Toledo,Marcelo de Lima Henrique,11965.0,,São Paulo,Cruzeiro,,,6.0,8.0,,,,,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,
4288,2011,2011-07-20,10,Estádio Orlando Scarpelli,Diego Pombo Lopez,12175.0,,Figueirense FC,Grêmio,,,8.0,12.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
4289,2011,2011-07-21,11,Estádio Aderbal Ramos da Silva,Felipe Gomes da Silva,6173.0,,Avaí FC,Internacional,,,18.0,7.0,,,,,1.0,3.0,1.0,0.0,,,,,,,,,,,,,,
4290,2011,2011-07-23,11,Estádio Raimundo Sampaio,Jailson Macedo Freitas,752.0,,América-MG,Figueirense FC,,,19.0,10.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
4291,2011,2011-07-27,12,Estádio Orlando Scarpelli,Alício Pena Junior,13283.0,,Figueirense FC,Palmeiras,,,9.0,5.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
4292,2011,2011-07-31,13,Estádio Cícero Pompeu de Toledo,Paulo Henrique de Godoy Bezerra,23309.0,,São Paulo,Vasco da Gama,,,2.0,5.0,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,
4293,2011,2011-07-31,13,Estádio Beira-Rio,Jailson Macedo Freitas,10177.0,,Internacional,Atlético-GO,,,7.0,17.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
