,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
0,2022,2022-04-16,2,Estádio Serra Dourada,Braulio da Silva Machado,12864.0,14525.0,Goiás,Palmeiras,Jair Ventura,Abel Ferreira,19.0,14.0,8950000.0,86000000.0,28.3,26.7,1.0,1.0,0.0,0.0,2.0,6.0,16.0,7.0,6.0,13.0,5.0,5.0,0.0,2.0,9.0,22.0,2.0,11.0
1,2022,2022-05-16,6,Estádio Serra Dourada,Marcelo de Lima Henrique  ,9538.0,14525.0,Goiás,Santos,Jair Ventura,Fabián Bustos,17.0,2.0,6950000.0,25900000.0,27.2,26.1,1.0,0.0,1.0,0.0,5.0,9.0,14.0,11.0,11.0,12.0,4.0,4.0,0.0,2.0,10.0,16.0,3.0,9.0
2,2022,2022-06-26,14,Estádio Serra Dourada,Rodolpho Toski Marques,8871.0,14525.0,Goiás,Cuiabá-MT,Jair Ventura,Toni Oliveira,17.0,18.0,8150000.0,9800000.0,25.9,29.7,1.0,0.0,0.0,0.0,4.0,6.0,14.0,16.0,14.0,14.0,2.0,4.0,2.0,0.0,15.0,13.0,8.0,7.0
3,2022,2022-07-10,16,Estádio Serra Dourada,Raphael Claus,9044.0,14525.0,Goiás,Athletico-PR,Jair Ventura,Luiz Felipe Scolari,17.0,2.0,7700000.0,21350000.0,27.2,23.9,2.0,1.0,2.0,0.0,2.0,2.0,15.0,10.0,10.0,14.0,3.0,1.0,0.0,3.0,11.0,20.0,6.0,10.0
4,2022,2022-07-30,20,Estádio Serra Dourada,Wagner do Nascimento Magalhães,11267.0,14525.0,Goiás,Coritiba FC,Jair Ventura,Gustavo Morínigo,14.0,13.0,10000000.0,8200000.0,27.0,29.7,1.0,0.0,0.0,0.0,3.0,7.0,18.0,11.0,11.0,18.0,3.0,3.0,1.0,3.0,18.0,20.0,10.0,10.0
5,2022,2022-08-27,24,Estádio Serra Dourada,Marcelo de Lima Henrique  ,13411.0,14525.0,Goiás,Atlético-GO,,,11.0,19.0,9680000.0,7450000.0,28.0,28.3,2.0,1.0,1.0,0.0,3.0,3.0,14.0,9.0,9.0,13.0,1.0,4.0,1.0,1.0,15.0,10.0,6.0,5.0
6,2022,2022-09-11,26,Estádio Serra Dourada,Ramon Abatti,13798.0,14525.0,Goiás,Flamengo,Jair Ventura,Dorival Júnior,9.0,2.0,9680000.0,50500000.0,28.0,28.5,1.0,1.0,0.0,0.0,4.0,9.0,14.0,13.0,12.0,13.0,5.0,3.0,1.0,0.0,7.0,15.0,1.0,4.0
7,2022,2022-09-29,28,Estádio Serra Dourada,Luiz Flávio de Oliveira ,10774.0,14525.0,Goiás,Botafogo,Jair Ventura,Luís Castro,9.0,10.0,10750000.0,27400000.0,28.3,29.3,0.0,1.0,0.0,0.0,6.0,11.0,16.0,14.0,11.0,16.0,5.0,1.0,2.0,1.0,6.0,17.0,2.0,9.0
8,2022,2022-10-29,32,Estádio Serra Dourada,Bruno Arleu de Araújo,9497.0,14525.0,Goiás,Corinthians,Jair Ventura,Vítor Pereira,14.0,3.0,12830000.0,53500000.0,26.1,25.9,0.0,0.0,0.0,0.0,2.0,4.0,11.0,11.0,11.0,10.0,2.0,2.0,2.0,1.0,12.0,21.0,6.0,10.0
9,2022,2022-10-27,34,Estádio Serra Dourada,Wagner do Nascimento Magalhães,7274.0,14525.0,Goiás,América-MG,Jair Ventura,Vagner Mancini,13.0,9.0,12800000.0,8150000.0,26.9,31.2,2.0,2.0,0.0,0.0,3.0,8.0,14.0,23.0,22.0,12.0,3.0,3.0,1.0,0.0,12.0,16.0,4.0,8.0
