,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
0,2016,2016-09-15,25,Estádio Olímpico Nilton Santos,Paulo Henrique Schleinch Vollkopf,11883.0,46931.0,Botafogo,Santos FC,Jair Ventura,Dorival Júnior,9.0,5.0,8900000.0,28750000.0,28.5,27.4,0.0,1.0,,,,,,,,,,,,,,,,
1,2016,2016-09-25,27,Estádio Estadual Kléber José de Andrade,Leandro Pedro Vuaden,13780.0,,Flamengo,Cruzeiro,Zé Ricardo,Mano Menezes,2.0,15.0,26100000.0,31900000.0,28.4,27.5,2.0,1.0,,,,,,,,,,,,,,,,
2,2016,2016-10-09,29,Estádio Municipal Paulo Machado de Carvalho,Ricardo Marques Ribeiro,21773.0,78838.0,Flamengo,Santa Cruz,Zé Ricardo,Doriva,2.0,19.0,24850000.0,5750000.0,28.0,27.4,3.0,0.0,,,,,,,,,,,,,,,,
3,2016,2016-10-23,32,Estádio Jornalista Mário Filho,Anderson Daronco,54250.0,78838.0,Flamengo,Corinthians,Zé Ricardo,Oswaldo de Oliveira,2.0,6.0,27850000.0,22500000.0,29.5,27.5,2.0,2.0,,,,,,,,,,,,,,,,
4,2016,2016-10-13,30,Estádio General Sílvio Raulino de Oliveira,Sandro Ricci,9008.0,,Fluminense,Flamengo,Levir Culpi,Zé Ricardo,5.0,2.0,24250000.0,25100000.0,27.5,28.1,1.0,2.0,,,,,,,,,,,,,,,,
5,2016,2016-12-11,38,Arena Condá,Rodrigo D'Alonso Ferreira,,22600.0,Chapecoense,Atlético-MG,,,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,
6,2016,2016-10-16,31,Estádio Beira-Rio,Wilton Sampaio,31981.0,56000.0,Internacional,Flamengo,Celso Roth,Zé Ricardo,17.0,2.0,21250000.0,26100000.0,27.8,28.5,2.0,1.0,,,,,,,,,,,,,,,,
7,2016,2016-05-22,2,Arena do Grêmio,Luiz Flávio de Oliveira,17866.0,60540.0,Grêmio,Flamengo,Roger Machado,Jayme de Almeida,9.0,5.0,38750000.0,25350000.0,28.0,27.1,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8,2016,2016-05-29,4,Arena do Grêmio,Sandro Ricci,12415.0,60540.0,Grêmio,Coritiba FC,Roger Machado,Gilson Kleina,2.0,11.0,35000000.0,12000000.0,26.4,30.2,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
9,2016,2016-06-05,6,Arena do Grêmio,Péricles Bassols Pegado Cortez,16957.0,60540.0,Grêmio,Ponte Preta,Roger Machado,Eduardo Baptista,2.0,10.0,29500000.0,10750000.0,27.0,27.9,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
10,2016,2016-06-20,9,Arena do Grêmio,Thiago Duarte Peixoto,16566.0,60540.0,Grêmio,Cruzeiro,,,3.0,17.0,,,,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
11,2016,2016-06-30,12,Arena do Grêmio,Eduardo Tomaz de Aquino Valadão,14865.0,60540.0,Grêmio,Santos FC,Roger Machado,Dorival Júnior,5.0,3.0,30250000.0,38550000.0,26.2,25.1,3.0,2.0,2.0,0.0,,,,,,,,,,,,,,
12,2016,2016-07-10,14,Arena do Grêmio,Jailson Macedo Freitas,34013.0,60540.0,Grêmio,Figueirense FC,Roger Machado,Vinícius Eutrópio,3.0,15.0,30250000.0,10100000.0,26.3,27.3,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,2016,2016-07-24,16,Arena do Grêmio,Héber Lopes,37069.0,60540.0,Grêmio,São Paulo,Roger Machado,Edgardo Bauza,3.0,9.0,22250000.0,29000000.0,27.0,28.5,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
14,2016,2016-08-05,18,Arena do Grêmio,Luiz Flávio de Oliveira,16068.0,60540.0,Grêmio,Santa Cruz,Roger Machado,Milton Mendes,4.0,18.0,25250000.0,7050000.0,27.2,29.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
15,2016,2016-08-14,20,Arena do Grêmio,Braulio da Silva Machado,46163.0,60540.0,Grêmio,Corinthians,Roger Machado,Cristóvão Borges,6.0,3.0,26000000.0,28750000.0,27.6,26.5,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,
16,2016,2016-08-28,22,Arena do Grêmio,Claudio Francisco Lima e Silva,30631.0,60540.0,Grêmio,Atlético-MG,Roger Machado,Marcelo Oliveira,6.0,2.0,41000000.0,23750000.0,27.4,29.5,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
17,2016,2016-09-12,24,Arena do Grêmio,Emerson de Almeida Ferreira,19514.0,60540.0,Grêmio,Palmeiras,Roger Machado,Cuca,6.0,1.0,42000000.0,39600000.0,26.8,27.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
18,2016,2016-09-25,27,Arena do Grêmio,Dewson Fernando Freitas da Silva,11152.0,60540.0,Grêmio,Chapecoense,Renato Gaúcho,Caio Júnior,11.0,10.0,43000000.0,10500000.0,26.4,25.7,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
19,2016,2016-10-13,30,Arena do Grêmio,Péricles Bassols Pegado Cortez,16123.0,60540.0,Grêmio,Atlético-PR,Renato Gaúcho,Paulo Autuori,8.0,6.0,41500000.0,16750000.0,27.5,25.5,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
20,2016,2016-10-23,32,Arena do Grêmio,Franscisco Carlos do Nascimento,53287.0,60540.0,Grêmio,Internacional,Renato Gaúcho,Celso Roth,8.0,16.0,48000000.0,27500000.0,26.8,26.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
21,2016,2016-11-20,36,Arena do Grêmio,Wilton Sampaio,10765.0,60540.0,Grêmio,América-MG,Renato Gaúcho,Enderson Moreira,8.0,20.0,11450000.0,5650000.0,23.8,26.3,3.0,0.0,2.0,0.0,,,,,,,,,,,,,,
22,2016,2016-05-26,3,Estádio Municipal Radialista Mário Helênio,Dewson Fernando Freitas da Silva,4445.0,31863.0,Botafogo,Atlético-PR,,,17.0,19.0,,,,,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,2016,2016-06-12,7,Estádio General Sílvio Raulino de Oliveira,Ricardo Marques Ribeiro,1203.0,,Botafogo,EC Vitória,,,20.0,10.0,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
24,2016,2016-06-16,8,Estádio General Sílvio Raulino de Oliveira,Rodrigo Batista Raposo,883.0,20000.0,Botafogo,América-MG,,,20.0,19.0,,,,,3.0,1.0,3.0,0.0,,,,,,,,,,,,,,
