,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
8073,2017,2017-05-21,2,Arena Condá,André Luiz de Freitas Castro,10323.0,22600.0,Chapecoense,Palmeiras,Vágner Mancini,Cuca,11.0,2.0,12050000.0,21500000.0,27.2,27.1,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8074,2017,2017-05-30,3,Arena Condá,Marcelo de Lima Henrique,6188.0,22600.0,Chapecoense,Avaí FC,Vágner Mancini,Claudinei Oliveira,6.0,17.0,12050000.0,6550000.0,27.3,27.3,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,
8075,2017,2017-06-09,5,Arena Condá,Rodolpho Toski Marques,14403.0,22600.0,Chapecoense,Grêmio,Vágner Mancini,Renato Gaúcho,1.0,3.0,12050000.0,28300000.0,27.3,28.1,3.0,6.0,1.0,2.0,,,,,,,,,,,,,,
8076,2017,2017-06-15,7,Arena Condá,Jailson Macedo Freitas,10033.0,22600.0,Chapecoense,Vasco da Gama,Vágner Mancini,Milton Mendes,4.0,11.0,12050000.0,9600000.0,27.3,25.8,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8077,2017,2017-06-18,8,Arena Condá,Marcelo Aparecido Ribeiro de Souza,11603.0,22600.0,Chapecoense,Botafogo,Vágner Mancini,Jair Ventura,4.0,12.0,12300000.0,10400000.0,27.4,27.1,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,
8078,2017,2017-06-26,10,Arena Condá,João Batista de Arruda,8502.0,22600.0,Chapecoense,Atlético-MG,Vágner Mancini,Roger Machado,10.0,16.0,9650000.0,19600000.0,25.8,26.3,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
8079,2017,2017-07-09,12,Arena Condá,Caio Max Augusto Vieira,9689.0,22600.0,Chapecoense,Atlético-PR,Vinícius Eutrópio,Eduardo Baptista,15.0,14.0,10100000.0,18500000.0,27.0,27.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8080,2017,2017-07-16,14,Arena Condá,Wagner do Nascimento Magalhães,10742.0,22600.0,Chapecoense,São Paulo,Vinícius Eutrópio,Dorival Júnior,16.0,17.0,8500000.0,33230000.0,25.7,26.8,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,
8081,2017,2017-07-30,17,Arena Condá,Marcelo Aparecido Ribeiro de Souza,9744.0,22600.0,Chapecoense,Atlético-GO,Vinícius Eutrópio,João Paulo Sanches,12.0,20.0,8900000.0,5900000.0,26.6,26.8,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,
8082,2017,2017-08-03,18,Arena Condá,Flavio Rodrigues de Souza,3466.0,25000.0,Chapecoense,EC Bahia,Vinícius Eutrópio,Preto Casagrande,13.0,15.0,9500000.0,11100000.0,26.4,26.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
