,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2470,2013,2013-12-01,37,Estádio Moisés Lucarelli,Márcio Chagas da Silva,2390.0,19728.0,Ponte Preta,Portuguesa,,,19.0,18.0,,,,,0.0,2.0,,,,,,,,,,,,,,,,
2471,2013,2013-11-24,36,Estádio Paulo Constantino,Francisco Carlos do Nascimento,4369.0,20000.0,Santos FC,Fluminense,Claudinei Oliveira,Dorival Júnior,10.0,12.0,23700000.0,20300000.0,26.6,27.4,1.0,0.0,,,,,,,,,,,,,,,,
2472,2013,2013-11-24,36,Arena Fonte Nova,Ricardo Marques Ribeiro,31025.0,55000.0,EC Bahia,Portuguesa,Cristóvão Borges,Guto Ferreira,13.0,17.0,5800000.0,4400000.0,25.5,28.3,1.0,0.0,,,,,,,,,,,,,,,,
2473,2013,2013-05-26,1,Estádio Nacional de Brasília Mané Garrincha,Wilton Sampaio,63501.0,72788.0,Santos FC,Flamengo,,,12.0,19.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2474,2013,2013-05-30,2,Estádio Municipal Radialista Mário Helênio,Jean Pierre Goncalves Lima,8932.0,,Flamengo,Ponte Preta,,,19.0,16.0,,,,,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,
2475,2013,2013-06-06,4,Estádio Orlando Scarpelli,André Luiz de Freitas Castro,5241.0,19908.0,Flamengo,Náutico,,,20.0,18.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
2476,2013,2013-08-31,17,Arena do Grêmio,Rodrigo Nunes de Sá,23745.0,,Grêmio,Ponte Preta,,,3.0,18.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2477,2013,2013-09-13,20,Estádio Cícero Pompeu de Toledo,Marcelo Aparecido Ribeiro de Souza,27548.0,,São Paulo,Ponte Preta,,,17.0,19.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2478,2013,2013-09-15,21,Estádio Moisés Lucarelli,Paulo Henrique de Godoy Bezerra,10346.0,,Ponte Preta,Flamengo,,,19.0,16.0,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
2479,2013,2013-09-19,22,Arena do Grêmio,Péricles Bassols Pegado Cortez,12447.0,60540.0,Grêmio,Santos FC,,,3.0,8.0,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
2480,2013,2013-09-19,22,Estádio Moisés Lucarelli,Paulo César de Oliveira,6777.0,,Ponte Preta,Corinthians,,,19.0,7.0,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2481,2013,2013-09-29,24,Estádio Olímpico Nilton Santos,Franscisco Carlos do Nascimento,9673.0,,Botafogo,Ponte Preta,,,2.0,19.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
2482,2013,2013-10-19,30,Estádio Jornalista Mário Filho,Ricardo Marques Ribeiro,20791.0,82238.0,Fluminense,Ponte Preta,,,14.0,19.0,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,
2483,2013,2013-10-27,31,Estádio Moisés Lucarelli,Sandro Ricci,13349.0,,Ponte Preta,Vasco da Gama,,,19.0,17.0,,,,,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,
2484,2013,2013-11-10,33,Estádio Moisés Lucarelli,Leandro Pedro Vuaden,15666.0,,Ponte Preta,EC Vitória,,,18.0,7.0,,,,,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,
2485,2013,2013-11-17,35,Estádio Olímpico Nilton Santos,Claudio Francisco Lima e Silva,13168.0,57483.0,Cruzeiro,Ponte Preta,,,1.0,19.0,,,,,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,
