,ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
5793,2009,2009-06-21,7,Estádio Municipal Paulo Machado de Carvalho,Marcelo de Lima Henrique,15371.0,,Corinthians,São Paulo,,,8.0,10.0,,,,,3.0,1.0,1.0,0.0,,,,,,,,,,,,,,
5794,2009,2009-06-27,8,Estádio Cícero Pompeu de Toledo,André Luiz de Freitas Castro,7977.0,,São Paulo,Náutico,,,14.0,13.0,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,
5795,2009,2009-06-28,8,Allianz Parque,Leonardo Gaciba da Silva,8277.0,,Palmeiras,Santos FC,,,4.0,10.0,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
5796,2009,2009-07-05,9,Estádio Major Antônio Couto Pereira,Leandro Pedro Vuaden,21704.0,,Coritiba FC,São Paulo,,,19.0,10.0,,,,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
5797,2009,2009-07-11,10,Allianz Parque,Wagner Tardelli Azevedo,7800.0,,Palmeiras,Náutico,,,3.0,17.0,,,,,4.0,1.0,2.0,0.0,,,,,,,,,,,,,,
5798,2009,2009-07-16,11,Estádio Governador Magalhães Pinto,Leonardo Gaciba da Silva,54214.0,,Atlético-MG,São Paulo,,,1.0,13.0,,,,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,
5799,2009,2009-07-18,12,Allianz Parque,Marcelo de Lima Henrique,19041.0,,Palmeiras,Santo André,,,3.0,6.0,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,
5800,2009,2009-07-19,12,Estádio Cícero Pompeu de Toledo,José Henrique de Carvalho,10913.0,,São Paulo,Santos FC,,,14.0,11.0,,,,,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,
5801,2009,2009-07-22,13,Estádio Beira-Rio,Rodrigo Nunes de Sá,16974.0,,Internacional,São Paulo,,,3.0,11.0,,,,,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,
5802,2009,2009-07-22,13,Estádio do Governo do Estado de Goiás,Evandro Rogerio Roman,19707.0,,Goiás EC,Palmeiras,,,8.0,2.0,,,,,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,
